Page no.,Page URL,Date Sent,Location,Cost,Weight,Paid/Forwarded/Due,Transcriber's Note
6,https://diglib.amphilsoc.org/islandora/object/franklin-postal-book-006,5/27/1748,Boston,23.0.1.1.,223:16:00,pd.,
6,https://diglib.amphilsoc.org/islandora/object/franklin-postal-book-006,5/27/1748,Newport,7.0.1.0,74,,
6,https://diglib.amphilsoc.org/islandora/object/franklin-postal-book-006,5/27/1748,NYork,36.4.1.0,155.8,pd. 24 dwt,
6,https://diglib.amphilsoc.org/islandora/object/franklin-postal-book-006,5/27/1748,NLondon,2,12.16,,
6,https://diglib.amphilsoc.org/islandora/object/franklin-postal-book-006,5/31/1748,Annap.,7.1.1.1.,51.16,,
6,https://diglib.amphilsoc.org/islandora/object/franklin-postal-book-006,5/31/1748,Wmburgh,3.2.0.0,31.16,,
6,https://diglib.amphilsoc.org/islandora/object/franklin-postal-book-006,5/31/1748,Boyd's Hole,2,8,,
6,https://diglib.amphilsoc.org/islandora/object/franklin-postal-book-006,5/31/1748,Rider,,,23 dwt,
6,https://diglib.amphilsoc.org/islandora/object/franklin-postal-book-006,6/3/1748,Boston,30.2.2.1.,311,pd. 65.16,
6,https://diglib.amphilsoc.org/islandora/object/franklin-postal-book-006,6/3/1748,NYork,25.2.,88.8,pd. 24,
6,https://diglib.amphilsoc.org/islandora/object/franklin-postal-book-006,6/3/1748,Newport,2,14,,
6,https://diglib.amphilsoc.org/islandora/object/franklin-postal-book-006,6/3/1748,Amboy,2,6,fow'd 4 dwt,
6,https://diglib.amphilsoc.org/islandora/object/franklin-postal-book-006,6/3/1748,Brunswick,1,2,pd. 2 dwt,
6,https://diglib.amphilsoc.org/islandora/object/franklin-postal-book-006,6/3/1748,Trenton,1,1.8,pd. [91],
10,https://diglib.amphilsoc.org/islandora/object/franklin-postal-book-010,6/9/1728,Boston,7.1.1.0.,78.8,dwt.,
10,https://diglib.amphilsoc.org/islandora/object/franklin-postal-book-010,6/9/1728,NYork,.19.3.,84:8,pd. 3,
10,https://diglib.amphilsoc.org/islandora/object/franklin-postal-book-010,6/9/1728,Amboy,2,4,,
10,https://diglib.amphilsoc.org/islandora/object/franklin-postal-book-010,6/9/1728,New York,15.2.0.1.,70:8,Added,
10,https://diglib.amphilsoc.org/islandora/object/franklin-postal-book-010,6/9/1728,Boston,21.5.0.0.,222:0,Added,
14,https://diglib.amphilsoc.org/islandora/object/franklin-postal-book-014,6/15/1748,Boston,31.3.1.2,341:8,pd. 7 dwt,
14,https://diglib.amphilsoc.org/islandora/object/franklin-postal-book-014,6/15/1748,Newport,1,7,pd. 7,
14,https://diglib.amphilsoc.org/islandora/object/franklin-postal-book-014,6/15/1748,NYork,60.4.1.0.,272.16.,,
14,https://diglib.amphilsoc.org/islandora/object/franklin-postal-book-014,6/15/1748,Amboy,2,4,,
14,https://diglib.amphilsoc.org/islandora/object/franklin-postal-book-014,6/15/1748,Brunswick,1,2,,
14,https://diglib.amphilsoc.org/islandora/object/franklin-postal-book-014,6/15/1748,Trenton,2,2.16,,
16,https://diglib.amphilsoc.org/islandora/object/franklin-postal-book-016,6/24/1748,Boston,16.4:0:0,168:16:00,pd. 21 dwt.,
