Page Number,Digital Library Page URL,Pounds (Page Total),Shillings (Page Total),Pence (Page Total)
6,https://diglib.amphilsoc.org/islandora/object/bf-1748006,73,15,5
7,https://diglib.amphilsoc.org/islandora/object/bf-1748007,10,2,3
8,https://diglib.amphilsoc.org/islandora/object/bf-1748008,48,8,0
9,https://diglib.amphilsoc.org/islandora/object/bf-1748009,4,15,11
10,https://diglib.amphilsoc.org/islandora/object/bf-1748010,14,3,3
11,https://diglib.amphilsoc.org/islandora/object/bf-1748011,5,18,3
12,https://diglib.amphilsoc.org/islandora/object/bf-1748012,8,17,10
13,https://diglib.amphilsoc.org/islandora/object/bf-1748013,6,3,4
14,https://diglib.amphilsoc.org/islandora/object/bf-1748014,5,15,8
15,https://diglib.amphilsoc.org/islandora/object/bf-1748015,2,0,11
16,https://diglib.amphilsoc.org/islandora/object/bf-1748016,3,3,11
18,https://diglib.amphilsoc.org/islandora/object/bf-1748018,3,17,1
19,https://diglib.amphilsoc.org/islandora/object/bf-1748019,17,9,11
20,https://diglib.amphilsoc.org/islandora/object/bf-1748020,6,16,8
21,https://diglib.amphilsoc.org/islandora/object/bf-1748021,15,16,2
22,https://diglib.amphilsoc.org/islandora/object/bf-1748022,15,7,3
23,https://diglib.amphilsoc.org/islandora/object/bf-1748023,3,5,3
24,https://diglib.amphilsoc.org/islandora/object/bf-1748024,15,5,2
25,https://diglib.amphilsoc.org/islandora/object/bf-1748025,24,0,7
26,https://diglib.amphilsoc.org/islandora/object/bf-1748026,9,1,8
27,https://diglib.amphilsoc.org/islandora/object/bf-1748027,6,0,4
28,https://diglib.amphilsoc.org/islandora/object/bf-1748028,33,10,3
29,https://diglib.amphilsoc.org/islandora/object/bf-1748029,15,1,6
30,https://diglib.amphilsoc.org/islandora/object/bf-1748030,9,18,6
31,https://diglib.amphilsoc.org/islandora/object/bf-1748031,19,2,2
32,https://diglib.amphilsoc.org/islandora/object/bf-1748032,3,9,10
33,https://diglib.amphilsoc.org/islandora/object/bf-1748033,6,16,7
34,https://diglib.amphilsoc.org/islandora/object/bf-1748034,69,13,8
35,https://diglib.amphilsoc.org/islandora/object/bf-1748035,4,4,7
36,https://diglib.amphilsoc.org/islandora/object/bf-1748036,33,2,10
37,https://diglib.amphilsoc.org/islandora/object/bf-1748037,27,17,0
38,https://diglib.amphilsoc.org/islandora/object/bf-1748038,30,16,6
40,https://diglib.amphilsoc.org/islandora/object/bf-1748040,10,2,4
41,https://diglib.amphilsoc.org/islandora/object/bf-1748041,6,4,0
42,https://diglib.amphilsoc.org/islandora/object/bf-1748042,14,11,0
45,https://diglib.amphilsoc.org/islandora/object/bf-1748045,105,0,6
46,https://diglib.amphilsoc.org/islandora/object/bf-1748046,32,16,2
47,https://diglib.amphilsoc.org/islandora/object/bf-1748047,14,5,7
48,https://diglib.amphilsoc.org/islandora/object/bf-1748048,5,13,7
49,https://diglib.amphilsoc.org/islandora/object/bf-1748049,11,2,11
52,https://diglib.amphilsoc.org/islandora/object/bf-1748052,2,13,11
53,https://diglib.amphilsoc.org/islandora/object/bf-1748053,19,6,4
54,https://diglib.amphilsoc.org/islandora/object/bf-1748054,72,14,7
55,https://diglib.amphilsoc.org/islandora/object/bf-1748055,3,9,9
56,https://diglib.amphilsoc.org/islandora/object/bf-1748056,3,13,9
57,https://diglib.amphilsoc.org/islandora/object/bf-1748057,2,17,5
58,https://diglib.amphilsoc.org/islandora/object/bf-1748058,17,13,10
59,https://diglib.amphilsoc.org/islandora/object/bf-1748059,22,17,1
60,https://diglib.amphilsoc.org/islandora/object/bf-1748060,35,8,6
61,https://diglib.amphilsoc.org/islandora/object/bf-1748061,7,14,0
62,https://diglib.amphilsoc.org/islandora/object/bf-1748062,12,12,10
63,https://diglib.amphilsoc.org/islandora/object/bf-1748063,3,18,0
65,https://diglib.amphilsoc.org/islandora/object/bf-1748065,5,2,5
