Page Number,Digital Library Page URL,Title of Addressee,First Name of Addresse,Last Name of Addressee,Year (Date),Month (Date),Day (Date),Pound (Amount Due),Shilling (Amount Due),Pence (Amount Due),Notes,Transcriber's Notes
39,https://diglib.amphilsoc.org/islandora/object/bf-1748039,Drs.,,Bevan & Morgan,1745,10,2,,2,1,,"Calculations on page 39 match total of 0:9:11, which is recorded in Dataset A, Sorting ID 54"
39,https://diglib.amphilsoc.org/islandora/object/bf-1748039,Drs.,,Bevan & Morgan,1745,3,14,,2,11,,"Calculations on page 39 match total of 0:9:11, which is recorded in Dataset A, Sorting ID 54"
39,https://diglib.amphilsoc.org/islandora/object/bf-1748039,Drs.,,Bevan & Morgan,1746,6,25,,1,7,,"Calculations on page 39 match total of 0:9:11, which is recorded in Dataset A, Sorting ID 54"
39,https://diglib.amphilsoc.org/islandora/object/bf-1748039,Drs.,,Bevan & Morgan,1746,7,23,,1,7,,"Calculations on page 39 match total of 0:9:11, which is recorded in Dataset A, Sorting ID 54"
50,https://diglib.amphilsoc.org/islandora/object/bf-1748050,Dr.,Jos.,Richardson,,,,,15,7,Acct. D.d - 15.7,"Calculations on page 50 match total of 1:12:7, which is recorded in Dataset A, Sorting ID 469"
50,https://diglib.amphilsoc.org/islandora/object/bf-1748050,Dr.,Jos.,Richardson,1746,2,26,,2,11,,"Calculations on page 50 match total of 1:12:7, which is recorded in Dataset A, Sorting ID 469"
50,https://diglib.amphilsoc.org/islandora/object/bf-1748050,Dr.,Jos.,Richardson,1746,5,7,,1,7,,"Calculations on page 50 match total of 1:12:7, which is recorded in Dataset A, Sorting ID 469"
50,https://diglib.amphilsoc.org/islandora/object/bf-1748050,Dr.,Jos.,Richardson,1746,8,13,,2,11,,"Calculations on page 50 match total of 1:12:7, which is recorded in Dataset A, Sorting ID 469"
50,https://diglib.amphilsoc.org/islandora/object/bf-1748050,Dr.,Jos.,Richardson,1746,11,11,,2,11,,"Calculations on page 50 match total of 1:12:7, which is recorded in Dataset A, Sorting ID 469"
50,https://diglib.amphilsoc.org/islandora/object/bf-1748050,Dr.,Jos.,Richardson,1746,11,11,,6,8,,"Calculations on page 50 match total of 1:12:7, which is recorded in Dataset A, Sorting ID 469"
64,https://diglib.amphilsoc.org/islandora/object/bf-1748064,Drs.,,Yates & Inglis,1744,3,27,,1,8,To B. Franklin for Postage,"Calculations on page 64 for Yates & Inglis match total of 0:1:8, which is recorded in Dataset A, Sorting ID 619"
64,https://diglib.amphilsoc.org/islandora/object/bf-1748064,Dr.,,Yates & Powel,1744,1,27,,1,3,to B. Franklin for Post.g,"Calculations on page 64 for Yates & Powel match total of 0:15:7, which is recorded in Dataset A, Sorting ID 620"
64,https://diglib.amphilsoc.org/islandora/object/bf-1748064,Dr.,,Yates & Powel,1745,2,14,,3,3,to B. Franklin for Post.g,"Calculations on page 64 for Yates & Powel match total of 0:15:7, which is recorded in Dataset A, Sorting ID 620"
64,https://diglib.amphilsoc.org/islandora/object/bf-1748064,Dr.,,Yates & Powel,1745,2,14,,3,3,to B. Franklin for Post.g,"Calculations on page 64 for Yates & Powel match total of 0:15:7, which is recorded in Dataset A, Sorting ID 620"
64,https://diglib.amphilsoc.org/islandora/object/bf-1748064,Dr. ,,Yates & Powel,1746,4,16,,7,10,to B. Franklin for Post.g,"Calculations on page 64 for Yates & Powel match total of 0:15:7, which is recorded in Dataset A, Sorting ID 620"
64,https://diglib.amphilsoc.org/islandora/object/bf-1748064,Dr.,,Yates & McCall,1745,10,23,,6,2,to B. Franklin for Post.g,"Calculations on page 64 for Yates & McCall match total of 0:6:2, which is recorded in Dataset A, Sorting ID 622"
64,https://diglib.amphilsoc.org/islandora/object/bf-1748064,Dr.,,Yates & Wilcox,1745,1,4,,6,2,to B. Franklin for Post.g,"Calculations on page 64 for Yates & Wilcox match total of 0:11:0, which is recorded in Dataset A, Sorting ID 623"
64,https://diglib.amphilsoc.org/islandora/object/bf-1748064,Dr.,,Yates & Wilcox,1745,1,4,,3,3,to B. Franklin for Post.g,"Calculations on page 64 for Yates & Wilcox match total of 0:11:0, which is recorded in Dataset A, Sorting ID 623"
