3,Page URL,Date,Location,Title of Addressee,First Name of Addressee,Last Name of Addressee,Weight,Paid, Amount Due,Notes,Transcriber's Notes
3,https://diglib.amphilsoc.org/islandora/object/franklin-postal-book-003,5/25/1748,New York,,Robert,Warren,9,Y,3:9,,
3,https://diglib.amphilsoc.org/islandora/object/franklin-postal-book-003,5/25/1748,New York,,,Allen & Turner,15.16,Y,6:7,,
3,https://diglib.amphilsoc.org/islandora/object/franklin-postal-book-003,5/25/1748,New York,,Alex,Lang,9.16,Y,4:1,,
3,https://diglib.amphilsoc.org/islandora/object/franklin-postal-book-003,5/25/1748,New York,,Anth.,Denormandy,9.16,Y,4.1,,
3,https://diglib.amphilsoc.org/islandora/object/franklin-postal-book-003,5/25/1748,New York,,Jno.,Condon,6.16,,2.10,,
3,https://diglib.amphilsoc.org/islandora/object/franklin-postal-book-003,5/25/1748,New York,,Jno.,Wilcocks,6:16,Y,2.10,,
3,https://diglib.amphilsoc.org/islandora/object/franklin-postal-book-003,5/25/1748,New York,,Jno.,Groves,6.16,Y,2.10,,
3,https://diglib.amphilsoc.org/islandora/object/franklin-postal-book-003,5/25/1748,New York,,Mark,Kuhl,6.16,Y,2.10,,
3,https://diglib.amphilsoc.org/islandora/object/franklin-postal-book-003,5/25/1748,New York,,Wm.,Nicholson,6.16,Y,2.10,,
3,https://diglib.amphilsoc.org/islandora/object/franklin-postal-book-003,5/25/1748,New York,Capt.,John,Markin,3.16,Y,1.7,,
3,https://diglib.amphilsoc.org/islandora/object/franklin-postal-book-003,5/25/1748,New York,,Saml.,"Powel, Jr.",3.16,Y,1.7,,
3,https://diglib.amphilsoc.org/islandora/object/franklin-postal-book-003,5/25/1748,New York,,Saml.,"Powel, Jr.",3.16,Y,1.7,Do.,
3,https://diglib.amphilsoc.org/islandora/object/franklin-postal-book-003,5/25/1748,New York,,Wm.,Marten,3.16,Y,1.7,,
3,https://diglib.amphilsoc.org/islandora/object/franklin-postal-book-003,5/25/1748,New York,,Messn.,Strettell,3.16,Y,1.7,,
3,https://diglib.amphilsoc.org/islandora/object/franklin-postal-book-003,5/25/1748,New York,,Jno.,Harrison,3.16,Y,1.7,,
3,https://diglib.amphilsoc.org/islandora/object/franklin-postal-book-003,5/25/1748,New York,,S.,"McCall, Jr.",3.16,Y,1.7,,
3,https://diglib.amphilsoc.org/islandora/object/franklin-postal-book-003,5/25/1748,New York,,Jno.,Inghi,3.16,Y,1.7,,
3,https://diglib.amphilsoc.org/islandora/object/franklin-postal-book-003,5/25/1748,New York,,,Powell & Bell,3.16,Y,1.7,,
3,https://diglib.amphilsoc.org/islandora/object/franklin-postal-book-003,5/25/1748,New York,,Wm.,Callender,3.16,Y,1.7,,
3,https://diglib.amphilsoc.org/islandora/object/franklin-postal-book-003,5/25/1748,New York,,Joseph,Stretch,3.16,Y,1.7,,
3,https://diglib.amphilsoc.org/islandora/object/franklin-postal-book-003,5/25/1748,New York,,Jno.,Morrison,3.16,Y,1.7,,
3,https://diglib.amphilsoc.org/islandora/object/franklin-postal-book-003,5/25/1748,New York,,,"Lightfoot, Edwards & Co.",3.16,Y,1.7,,
3,https://diglib.amphilsoc.org/islandora/object/franklin-postal-book-003,5/25/1748,New York,,,Allen & Turner,3.16,Y,1.7,,
3,https://diglib.amphilsoc.org/islandora/object/franklin-postal-book-003,5/25/1748,New York,,S.,Emlen,3.16,Y,1.7,,
