Data Completeness,Sorting ID,Page Number,URL ,Time of Receiving: Year,Time of Receiving: Month,Time of Receiving: Day,"Name of the Offices and Ships, from whence they were received. ",Date of the Bills received: Year ,Date of the Bills received: Month ,Date of the Bills received: Day ,Unpaid Letters received: Dwt. ,Unpaid Letters received: Grs. ,Way Letters received: Dwt. ,Way Letters received: Grs. ,Undercharged from other Offices: Dwt. ,Undercharged from other Offices: Grs. ,Overcharged from other Offices: Dwt. ,Overcharged from other Offices: Grs. ,Paid Letters from other Offices: Dwt. ,Paid Letters from other Offices: Grs. ,Forwarded to other other Offices being missent: Dwt. ,Forwarded to other offices being missent: Grs. ,Number paid for,Belonging to this Office only: Dwt. ,Belonging to this Office only: Grs.,Notes,Transcribers Notes
Complete,1,1,https://diglib.amphilsoc.org/islandora/object/b-f86f6-30001,1767,5,12,Montreal,1767,4,20,12,,,,,,,,,,,,null,null,null,,"Damage: after forward to other Offices, being missent"
Complete,2,1,https://diglib.amphilsoc.org/islandora/object/b-f86f6-30001,1767,5,12,Portsmouth,1767,5,1,9,8,,,,,,,9,8,,,null,null,null,,"Damage: after forward to other Offices, being missent"
Complete,3,1,https://diglib.amphilsoc.org/islandora/object/b-f86f6-30001,1767,5,12,Marblehead,1767,5,2,27,8,,,4,,,,,,,,null,null,null,,"Damage: after forward to other Offices, being missent"
Complete,4,1,https://diglib.amphilsoc.org/islandora/object/b-f86f6-30001,1767,5,12,Boston,1767,5,4,24,,,,,,,,,,,,null,null,null,,"Damage: after forward to other Offices, being missent"
Complete,5,1,https://diglib.amphilsoc.org/islandora/object/b-f86f6-30001,1767,5,12,Providence,1767,5,5,4,,,,,,,,,,,,null,null,null,,"Damage: after forward to other Offices, being missent"
Complete,6,1,https://diglib.amphilsoc.org/islandora/object/b-f86f6-30001,1767,5,12,Newport,1767,5,8,12,,,,,,,,,,,,null,null,null,,"Damage: after forward to other Offices, being missent"
Complete,7,1,https://diglib.amphilsoc.org/islandora/object/b-f86f6-30001,1767,5,12,Newark,1767,5,10,2,,,,,,,,,,,,null,null,null,,"Damage: after forward to other Offices, being missent"
Complete,8,1,https://diglib.amphilsoc.org/islandora/object/b-f86f6-30001,1767,5,12,New York ,1767,5,11,152,,10,,,,2,,26,,8,16,null,null,null,,"Damage: after forward to other Offices, being missent"
Complete,9,1,https://diglib.amphilsoc.org/islandora/object/b-f86f6-30001,1767,5,12,Brunswick ,1767,5,11,1,8,,,,,,,,,,,null,null,null,,"Damage: after forward to other Offices, being missent"
Complete,10,1,https://diglib.amphilsoc.org/islandora/object/b-f86f6-30001,1767,5,12,E: Town ,1767,5,11,8,,,,,,,,,,,,null,null,null,,"Damage: after forward to other Offices, being missent"
Complete,11,1,https://diglib.amphilsoc.org/islandora/object/b-f86f6-30001,1767,5,12,Quebeck,1767,4,16,104,,,,,,45,8,,,14,16,null,null,null,,"Damage: after forward to other Offices, being missent"
Complete,12,1,https://diglib.amphilsoc.org/islandora/object/b-f86f6-30001,1767,5,12,Ship,,,,,,,,,,,,,,,,23,null,null,,"Damage: after number paid for, entries for Ship do not include Date of Bills"
Complete,13,1,https://diglib.amphilsoc.org/islandora/object/b-f86f6-30001,1767,5,13,Vienna,1767,5,5,,,,,,,,,2,16,,,null,null,null,,"Damage: after forward to other Offices, being missent"
Complete,14,1,https://diglib.amphilsoc.org/islandora/object/b-f86f6-30001,1767,5,13,Talbot,1767,5,9,2,16,,,,,,,2,16,,,null,null,null,,"Damage: after forward to other Offices, being missent"
Complete,15,1,https://diglib.amphilsoc.org/islandora/object/b-f86f6-30001,1767,5,13,Newtown,1767,5,11,24,16,,,,,,,2,,8,,null,null,null,,"Damage: after forward to other Offices, being missent"
Complete,16,1,https://diglib.amphilsoc.org/islandora/object/b-f86f6-30001,1767,5,13,Fredericktown,1767,5,11,18,16,,,,,,,2,,3,8,null,null,null,,"Damage: after forward to other Offices, being missent"
Complete,17,1,https://diglib.amphilsoc.org/islandora/object/b-f86f6-30001,1767,5,14,Lancaster,1767,5,12,8,,2,,2,,,,4,,,,null,null,null,,"Damage: after forward to other Offices, being missent"
Complete,18,1,https://diglib.amphilsoc.org/islandora/object/b-f86f6-30001,1767,5,14,Norfolk ,1767,4,27,11,8,,,,,,,,,,,null,null,null,,"Damage: after forward to other Offices, being missent"
Complete,19,1,https://diglib.amphilsoc.org/islandora/object/b-f86f6-30001,1767,5,14,Williamsburg,1767,5,2,28,16,,,,,,,,,,,null,null,null,,"Damage: after forward to other Offices, being missent"
Complete,20,1,https://diglib.amphilsoc.org/islandora/object/b-f86f6-30001,1767,5,14,Hobb's Hole,1767,5,7,12,,,,,,,,12,,,,null,null,null,,"Damage: after forward to other Offices, being missent"
Complete,21,1,https://diglib.amphilsoc.org/islandora/object/b-f86f6-30001,1767,5,14,Fredericksburg,1767,5,8,6,16,,,,,,,6,16,,,null,null,null,,"Damage: after forward to other Offices, being missent"
Complete,22,1,https://diglib.amphilsoc.org/islandora/object/b-f86f6-30001,1767,5,14,Alexandria,1767,5,9,3,8,,,,,,,,,,,null,null,null,,"Damage: after forward to other Offices, being missent"
Complete,23,1,https://diglib.amphilsoc.org/islandora/object/b-f86f6-30001,1767,5,14,Annapolis,1767,5,11,16,,,,,,,,,,,,null,null,null,,"Damage: after forward to other Offices, being missent"
Complete,24,1,https://diglib.amphilsoc.org/islandora/object/b-f86f6-30001,1767,5,14,Baltimore,1767,5,11,8,,,,,,,,,,,,null,null,null,,"Damage: after forward to other Offices, being missent"
Complete,25,1,https://diglib.amphilsoc.org/islandora/object/b-f86f6-30001,1767,5,14,Joppa ,1767,5,12,8,,,,,,,,,,,,null,null,null,,"Damage: after forward to other Offices, being missent"
Complete,26,1,https://diglib.amphilsoc.org/islandora/object/b-f86f6-30001,1767,5,14,Charlestown,1767,5,13,8,,16,,,,,,,,4,,null,null,null,,"Damage: after forward to other Offices, being missent"
Complete,27,1,https://diglib.amphilsoc.org/islandora/object/b-f86f6-30001,1767,5,14,New York P ,1767,5,13,1601,16,,,,,6,,,,18,16,null,null,null,,"Damage: after forward to other Offices, being missent"
Complete,28,1,https://diglib.amphilsoc.org/islandora/object/b-f86f6-30001,1767,5,14,New York P ,1767,5,13,215,8,2,,,,,,26,,36,,null,null,null,,"Damage: after forward to other Offices, being missent"
Complete,29,1,https://diglib.amphilsoc.org/islandora/object/b-f86f6-30001,1767,5,14,Newark ,1767,5,12,1,8,,,,16,,,,,,,null,null,null,,"Damage: after forward to other Offices, being missent"
Complete,30,1,https://diglib.amphilsoc.org/islandora/object/b-f86f6-30001,1767,5,14,New Brunswick,1767,5,13,2,16,,,,,,,,,,,null,null,null,,"Damage: after forward to other Offices, being missent"
Complete,31,1,https://diglib.amphilsoc.org/islandora/object/b-f86f6-30001,1767,5,14,Princetown,1767,5,14,,,,,,,,,1,8,,,null,null,null,,"Damage: after forward to other Offices, being missent, entries for Ship do not include Date of Bills"
Partial,32,2,https://diglib.amphilsoc.org/islandora/object/b-f86f6-30002,1767,5,null,Ship,,,,,,,,,,,,,,,,82,,,,"Damage: Time of Receipt Column/Month is retrievable through context, day is not"
Partial,33,2,https://diglib.amphilsoc.org/islandora/object/b-f86f6-30002,1767,5,null,Ship,,,,,,,,,,,,,,,,15,,,,"Damage: Time of Receipt Column/Month is retrievable through context, day is not"
Partial,34,2,https://diglib.amphilsoc.org/islandora/object/b-f86f6-30002,1767,5,null,Newbury,1767,4,24,4,16,,,,,,,,,,,,,,,"Damage: Time of Receipt Column/Month is retrievable through context, day is not"
Partial,35,2,https://diglib.amphilsoc.org/islandora/object/b-f86f6-30002,1767,5,null,Marblehead,1767,4,25,4,,,,,,,,,,,,,,,,"Damage: Time of Receipt Column/Month is retrievable through context, day is not"
Partial,36,2,https://diglib.amphilsoc.org/islandora/object/b-f86f6-30002,1767,5,null,Boston,1767,4,27,48,16,,,,,,,,,12,,,,,,"Damage: Time of Receipt Column/Month is retrievable through context, day is not"
Partial,37,2,https://diglib.amphilsoc.org/islandora/object/b-f86f6-30002,1767,5,null,Providence,1767,4,28,12,,,,,,,,,,,,,,,,"Damage: Time of Receipt Column/Month is retrievable through context, day is not"
