Page,Page URL,Year (Date),Month (Date),Day (Date),Pounds (Amount Due),Shillings (Amount Due),Pence (Amount Due),Paid,Notes,Transcriber's Notes
42,https://diglib.amphilsoc.org/islandora/object/bf1743042,[1743],12,13,4,5,,,BF,
42,https://diglib.amphilsoc.org/islandora/object/bf1743042,[1743],12,14,7,10,,,,
42,https://diglib.amphilsoc.org/islandora/object/bf1743042,[1743],,,2,17,6,,DF,
42,https://diglib.amphilsoc.org/islandora/object/bf1743042,[1743],,,2,4,,,DF,[do.]
42,https://diglib.amphilsoc.org/islandora/object/bf1743042,[1743],,,[],12,6,,DF,[do.]
42,https://diglib.amphilsoc.org/islandora/object/bf1743042,[1743],12,16,1,4,2,,Paid Paschal,
42,https://diglib.amphilsoc.org/islandora/object/bf1743042,[1743],,,5,,,,DF,
42,https://diglib.amphilsoc.org/islandora/object/bf1743042,[1743],,,,2,6,,Sam Holland,
42,https://diglib.amphilsoc.org/islandora/object/bf1743042,[1743],12,19,7,19,9,,paid DF,
42,https://diglib.amphilsoc.org/islandora/object/bf1743042,[1743],12,22,10,,,,to R. Moor &c.,
42,https://diglib.amphilsoc.org/islandora/object/bf1743042,[1743],1,8,13,6,,,to DF Half Pistole,
42,https://diglib.amphilsoc.org/islandora/object/bf1743042,[1743],1,8,3,,,,Change,
42,https://diglib.amphilsoc.org/islandora/object/bf1743042,[1743],1,8,1,8,,,Change,[ditto]
42,https://diglib.amphilsoc.org/islandora/object/bf1743042,[1743],,,32,13,8,,,
